Animal ID,IOP L,IOP R,Corneal thickness L,Corneal thickness R
V4489,30,33,379,356
V4484,31,28,351,336
V4481,32,26,394,377
V4485,28,34,331,309
V4486,38,39,334,330
V4488,24,35,412,389
